MDN_APH_B																
																
Subject:	50															
Date: 05/04/2023 11:48:30																
Run: 2																
Buttons: 1/2																
																
stimulus_audio	time_audio	length_audio	stimulus_picture	time_picture	response_time	absolute_response_time	button_response	accuracy	condition	congruency	category	occurence_pic	repeat_pic	repeat_category	ISI	time_ISI
schlitten_correct	14598	1170	Schlitten	15779	16677	898	1	incorrect	FPM	correct	Fortbewegungsmittel	1	159	16	1200	18111
kleid_incorrect	19344	1290	Kleid	20644	21554	909	1	correct	FPM	incorrect	Kleidung	1	181	11	900	22860
birne_correct	24426	1310	Birne	25742	26836	1093	2	correct	FPM	correct	Fruechte	1	1	1	700	27942
blaubeere_word	28675	1450	Birne	30141	31398	1257	1	correct	WPM	incorrect	Fruechte	2		16	1200	32191
tisch_word	33424	1040	Tisch	34473	35545	1071	2	correct	WPM	correct	Moebel	1	114	9	900	36939
saege_incorrect	37922	1180	Saege	39105	40138	1032	1	correct	FPM	incorrect	Werkzeug	1	130	3	900	41438
mais_word	42371	860	Mais	43237	44947	1709	1	incorrect	WPM	correct	Gemuese	1	81	15	900	45887
elster_incorrect	46836	1220	Elster	48069	49655	1585	1	correct	FPM	incorrect	Voegel	1	26	3	1200	50352
axt_word	51585	1140	Axt	52735	53595	860	2	correct	WPM	correct	Werkzeug	1	145	1	1200	55101
sichel_correct	56384	1230	Sichel	57617	59278	1661	2	correct	FPM	correct	Werkzeug	1	62	28	900	59899
pinguin_word	60832	1200	Pinguin	62049	63900	1851	1	incorrect	WPM	correct	Voegel	1	158	7	900	64348
eichhoernchen_word	65281	1430	Eichhoernchen	66714	67355	641	2	correct	WPM	correct	Saeugetiere	1	83	3	700	68797
hemd_word	69530	1110	Hemd	70646	72583	1937	1	incorrect	WPM	correct	Kleidung	1	173	17	900	73046
sofa_incorrect	74312	1220	Sofa	75545	76580	1034	1	correct	FPM	incorrect	Moebel	1	85	11	1200	77828
fledermaus_incorrect	79127	1230	Fledermaus	80360	81707	1346	1	correct	FPM	incorrect	Saeugetiere	1	30	1	1200	82643
lama_word	83876	1240	Baer	85125	86572	1446	1	correct	WPM	incorrect	Saeugetiere	1	78	8	900	87391
